Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","148","Chad","5412","Yield","0118","Millet","2019","2019","kg/ha","607.9","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0118","Millet","2020","2020","kg/ha","591.7","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0118","Millet","2021","2021","kg/ha","555.9","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0118","Millet","2022","2022","kg/ha","581.4","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0118","Millet","2023","2023","kg/ha","556.5","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0114","Sorghum","2019","2019","kg/ha","868.6","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0114","Sorghum","2020","2020","kg/ha","839.7","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0114","Sorghum","2021","2021","kg/ha","793","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0114","Sorghum","2022","2022","kg/ha","844.9","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0114","Sorghum","2023","2023","kg/ha","795.1","A","Official figure",""
