annee,rendement_t_ha
2010,0.64555
2011,0.49329999999999996
2013,0.6248499999999999
2014,0.7355999999999999
2015,0.65835
2016,0.71225
2017,0.6956
2018,0.7432000000000001
2019,0.73825
2021,0.6744500000000001
2023,0.6758
2024,0.6258
