annee,ndvi_max,ndvi_mean,ndvi_min,ndvi_integral,ndvi_mean_vg,ndvi_max_fl,ndvi_mean_sn,rendement_t_ha
2019,0.7531,0.6515777777777778,0.4228,5.8642,0.7370333333333333,0.6776,0.6741333333333334,0.73825
2020,0.7289,0.5782700000000001,0.4382,5.7827,0.6588499999999999,0.6685,0.6402,0.7157000000000001
2021,0.7553,0.5558909090909091,0.3661,6.1148,0.5541,0.7553,0.542,0.6744500000000001
2022,0.6925,0.5795888888888889,0.3989,5.2163,0.6663,0.6872,0.6277666666666667,0.71315
2023,0.7005,0.5834916666666666,0.4005,7.0019,0.6312,0.7005,0.5991666666666666,0.6758
